Gender;Age;MaritalStatus;CS1;CS2;CS3;CS4;CS5;BP1;BP2;BP3;BP4;BA1;BA2;BA3;PI1;PI2;PI3;PI4
men;26;single;3;3;4;4;3;3;3;4;4;4;4;4;5;3;5;4
women;24;married ;2;3;3;3;3;4;5;4;4;3;3;3;3;3;2;3
women;17;single;5;5;5;5;5;5;4;4;5;5;5;5;5;5;4;5
women;25;married ;5;5;5;5;5;5;4;2;2;5;5;5;4;5;5;5
women;22;single;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5
men;35;single;4;4;4;4;4;3;3;4;4;4;4;4;4;3;4;4
women;21;single;5;4;4;4;4;3;3;5;3;3;4;4;4;5;5;5
women;20;single;3;2;3;3;3;1;1;1;1;2;2;2;1;1;1;1
women;22;single;5;5;5;5;5;3;4;3;3;4;4;5;4;4;4;4
men;19;single;5;5;4;4;5;3;3;5;5;5;5;5;5;5;5;5
women;21;single;3;1;3;3;1;5;5;5;5;4;5;5;4;5;5;5
women;17;single;1;1;1;1;1;1;1;1;1;5;5;5;5;1;1;1
women;20;single;4;3;4;3;5;3;1;1;2;4;4;4;4;3;2;2
men;30;single;5;5;5;5;3;5;5;5;5;5;4;5;5;5;3;4
women;20;single;4;5;5;4;3;5;5;5;5;5;5;5;4;5;5;5
men;29;single;4;4;4;4;1;4;4;4;4;4;3;5;3;5;5;5
men;31;single;1;3;3;3;2;4;4;4;4;4;3;4;5;4;4;4
men;39;single;3;4;4;4;3;3;3;3;3;3;3;3;3;2;3;3
women;16;single;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4
women;20;single;4;5;4;3;3;2;2;2;1;3;3;3;3;3;3;3
women;21;single;1;1;1;1;1;2;2;2;2;3;3;3;3;3;3;3
men;28;single;1;2;3;3;2;3;1;1;2;4;4;2;2;2;3;1
men;29;single;1;5;3;3;5;4;3;2;5;4;2;3;3;3;3;3
women;18;single;5;5;5;5;5;5;5;5;5;5;5;5;4;5;1;5
women;20;single;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5
women;20;single;5;5;5;5;5;5;3;3;3;5;5;5;5;5;5;5
men;23;single;4;4;4;3;2;4;4;4;4;5;5;4;4;3;3;3
women;21;single;3;3;3;3;2;2;2;3;3;4;4;4;3;3;3;3
men;20;single;5;5;5;4;1;5;5;5;5;3;2;5;5;3;3;3
women;19;single;3;3;3;3;3;3;3;3;3;5;5;5;4;3;3;3
women;30;single;2;3;3;3;2;5;5;5;4;4;4;4;5;3;4;3
women;23;single;3;4;3;3;2;3;3;2;3;4;3;3;4;2;3;3
men;55;married ;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
women;21;single;5;5;5;5;5;3;3;3;3;5;5;5;5;5;5;5
women;20;single;5;5;5;5;1;5;4;5;5;5;4;5;3;3;4;4
women;27;married ;5;5;5;5;5;4;4;4;4;5;5;4;4;5;5;5
men;24;single;4;4;4;4;4;2;2;2;2;5;5;5;5;5;5;5
women;21;single;5;5;5;5;5;3;3;3;3;5;5;5;5;3;3;3
women;20;single;5;5;5;5;1;5;4;4;3;4;4;5;5;3;5;5
women;21;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
men;42;married ;5;5;3;5;3;3;3;3;4;5;5;5;5;5;5;5
women;21;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5
women;20;single;1;1;1;1;1;1;1;1;1;5;5;5;5;1;1;1
men;22;single;4;5;5;5;5;3;4;4;4;5;5;5;3;5;5;5
men;29;married ;5;5;5;5;5;2;1;1;1;5;5;5;5;5;5;5
women;36;married ;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3
women;17;single;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5
men;34;married ;4;3;5;4;3;3;4;3;3;4;4;3;4;4;4;4
women;22;single;5;5;4;5;5;2;2;2;2;5;5;5;5;4;4;5
women;21;single;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3
men;37;divorced;1;3;1;3;2;3;1;1;1;2;2;2;2;3;3;3
women;22;single;4;5;5;4;3;4;3;3;4;4;4;4;4;4;4;5
women;18;single;1;3;3;1;3;3;1;1;3;5;4;5;5;1;2;1
men;23;single;3;3;3;3;3;3;3;3;3;5;5;5;5;3;3;3
men;18;single;4;3;3;4;1;3;2;2;1;4;3;3;4;3;2;5
women;17;single;5;4;4;4;4;2;2;2;2;5;5;5;5;5;5;4
men;22;single;1;2;1;1;1;2;2;1;1;2;3;1;3;1;3;3
women;27;single;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5
women;39;divorced;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4
women;18;married ;5;5;5;5;5;4;4;4;4;4;4;4;4;5;4;5
women;20;single;2;3;2;3;3;3;3;3;3;4;4;4;4;3;3;3
women;32;married ;5;5;5;4;3;5;5;5;5;5;5;3;3;3;2;3
men;47;married ;5;5;5;5;4;3;4;3;4;5;5;5;5;4;4;4
men;18;single;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;4
women;19;single;4;4;5;4;3;4;4;4;4;5;5;5;5;4;5;5
women;19;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5
women;19;single;3;4;4;4;3;3;3;1;3;3;3;3;3;3;2;3
men;26;single;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5
women;20;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
women;19;single;4;4;4;4;1;2;2;2;2;5;5;5;5;2;2;2
men;36;single;5;4;4;4;4;4;5;4;4;4;4;5;4;4;5;5
women;21;single;5;5;5;5;5;2;2;2;3;4;4;3;5;2;2;3
women;37;married ;3;3;3;3;3;2;2;2;2;4;4;4;4;2;2;3
men;34;married ;3;3;2;3;1;3;3;3;3;3;2;3;3;3;3;2
women;20;single;5;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5
women;39;married ;5;5;5;5;5;2;1;2;2;5;4;4;5;5;5;5
women;19;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5
men;44;married ;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5
men;20;single;3;3;3;3;3;1;1;1;1;2;2;2;2;2;2;2
women;24;single;5;5;5;5;5;5;5;4;4;4;4;4;5;5;4;4
men;48;married ;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
women;21;single;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;4
women;18;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
men;30;single;5;5;5;5;3;5;5;5;5;5;4;5;5;5;3;4
women;21;single;3;3;3;3;3;3;2;3;3;2;3;3;3;2;2;2
women;18;single;5;5;5;5;1;3;3;3;3;5;5;5;5;5;5;5
men;19;single;5;5;5;5;5;5;4;4;4;5;5;5;5;4;4;4
men;18;single;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5
